prediction_key,session_id_original,session_id_normalized,venue,session_title,session_year,security_nightmares,judgment,resolvable,fulfilled_binary,prediction_class,prediction_type,evidence_strength,horizon_days,specificity_proxy_score,specificity_proxy_band,specificity_proxy_components,difficulty_proxy,source_url,source_locator,primary_evidence_url,secondary_evidence_url
1-BHPRO-2005-01-06,BHPRO-2005-01,BHPRO-2005-01,Black Hat USA,The Future of Personal Information,2005,0,not_fulfilled,1,0,A,occurrence,strong,365,4,alta,directamente_puntuable;detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,baja,https://www.youtube.com/watch?v=tNzQNYZymWU,00:11:32-00:11:42,https://www.gao.gov/assets/gao-06-674.pdf,https://www.congress.gov/bill/109th-congress/senate-bill/1789
4-BHPRO-2014-03-03,BHPRO-2014-03,BHPRO-2014-03,Black Hat USA,Capstone: Next Generation Disassembly Framework,2014,0,not_fulfilled,1,0,A,occurrence,strong,365,4,alta,directamente_puntuable;detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,baja,https://www.youtube.com/watch?v=cwyJm6b1F0k,00:49:23-00:49:38,https://www.intel.com/content/www/us/en/products/sku/94035/intel-xeon-phi-processor-7250-16gb-1-40-ghz-68-core/specifications.html,https://www.intel.com/content/www/us/en/developer/articles/technical/intel-avx-512-instructions.html
11-CCC-2005-002-09,CCC-2005-002,CCC-2005-002,CCC,We lost the war,2005,0,indeterminate,0,,A,occurrence,moderate,3652,3,media,directamente_puntuable;horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/22C3-920-en-we_lost_the_war,00:07:57-00:08:16,https://www.radicati.com/wp/wp-content/uploads/2015/02/Email-Statistics-Report-2015-2019-Executive-Summary.pdf,https://www.sec.gov/Archives/edgar/data/1644675/000119312516602289/d151376d20f.htm
20-CCC-2012-033-01,CCC-2012-033,CCC-2012-033,CCC,Privacy and the Car of the Future,2012,0,fulfilled,1,1,B,occurrence,strong,1095,2,baja,horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/29c3-5095-en-privacy_and_the_car_of_the_future_h264,00:04:24-00:05:55,https://global.toyota/en/detail/4228471/,https://pressroom.toyota.com/?generate_pdf=10570
23-CCC-2018-085-01,CCC-2018-085,CCC-2018-085,CCC,Security Nightmares 0x13,2018,1,indeterminate,0,,B,adoption,weak,366,2,baja,horizonte_explicito;poblacion_y_geografia,media,https://media.ccc.de/v/35c3-10030-security_nightmares_0x13,00:53:51-00:54:56,,
23-CCC-2018-085-02,CCC-2018-085,CCC-2018-085,CCC,Security Nightmares 0x13,2018,1,fulfilled,1,1,B,occurrence_and_breadth,strong,366,2,baja,horizonte_explicito;poblacion_y_geografia,media,https://media.ccc.de/v/35c3-10030-security_nightmares_0x13,00:55:05-00:55:14,https://www.ftc.gov/system/files/documents/reports/internet-things-privacy-security-connected-world/final_iot_report.pdf,https://arxiv.org/abs/1911.03447
23-CCC-2018-085-03,CCC-2018-085,CCC-2018-085,CCC,Security Nightmares 0x13,2018,1,fulfilled,1,1,B,occurrence_and_breadth,strong,366,2,baja,horizonte_explicito;poblacion_y_geografia,media,https://media.ccc.de/v/35c3-10030-security_nightmares_0x13,00:55:10-00:55:16,https://forums.wyze.com/t/updated-01-06-20-data-leak-12-26-2019/79046,https://www.vpnmentor.com/blog/report-orvibo-leak/
23-CCC-2018-085-04,CCC-2018-085,CCC-2018-085,CCC,Security Nightmares 0x13,2018,1,fulfilled,1,1,B,direction,moderate,366,2,baja,horizonte_explicito;poblacion_y_geografia,media,https://media.ccc.de/v/35c3-10030-security_nightmares_0x13,00:57:42-00:58:30,https://support.apple.com/guide/security/gatekeeper-and-runtime-protection-sec5599b66df/web,https://learn.microsoft.com/en-us/windows/security/application-security/application-isolation/windows-sandbox/windows-sandbox-overview
23-CCC-2018-085-05,CCC-2018-085,CCC-2018-085,CCC,Security Nightmares 0x13,2018,1,fulfilled,1,1,A,occurrence,strong,366,3,media,directamente_puntuable;horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/35c3-10030-security_nightmares_0x13,00:58:30-00:58:45,https://digital.nhs.uk/cyber-alerts/2019/cc-3120,https://www.csk.gov.in/alerts/silex.html
23-CCC-2018-085-06,CCC-2018-085,CCC-2018-085,CCC,Security Nightmares 0x13,2018,1,indeterminate,0,,B,direction,moderate,366,2,baja,horizonte_explicito;poblacion_y_geografia,media,https://media.ccc.de/v/35c3-10030-security_nightmares_0x13,00:58:45-00:58:54,https://documents.trendmicro.com/assets/rpt/Trend-Micro-2019-Midyear-Roundup.pdf,https://www.microsoft.com/en-us/security/business/security-intelligence-report
23-CCC-2018-085-07,CCC-2018-085,CCC-2018-085,CCC,Security Nightmares 0x13,2018,1,indeterminate,0,,B,direction_and_mechanism,moderate,366,2,baja,horizonte_explicito;poblacion_y_geografia,alta,https://media.ccc.de/v/35c3-10030-security_nightmares_0x13,01:00:24-01:00:44,https://apwg.org/trendsreports/,https://documents.trendmicro.com/assets/rpt/Trend-Micro-2019-Midyear-Roundup.pdf
25-CCC-2007-013-01,CCC-2007-013,CCC-2007-013,CCC,EU Policy on RFID & Privacy,2007,0,not_fulfilled,1,0,B,occurrence,strong,173,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,baja,https://fahrplan.events.ccc.de/congress/2007/Fahrplan/attachments/1037_EU_Policy_RFID_Privacy.pdf,page_35,https://interoperable-europe.ec.europa.eu/collection/egovernment/document/eu-recommendation-privacy-and-data-protection-applications-supported-radio-frequency-identification,https://interoperable-europe.ec.europa.eu/sites/default/files/document/2014-12/recommendationonrfid2009.pdf
