"frame_id","year","expected_title","source_grade","youtube_title","duration_seconds","source_url","channel","checked_at","reason"
"BHKEY-2005-01","2005","Investing in Our Nation's Security","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2005-01","2005","The Future of Personal Information","S3","Black Hat USA 2005 - The Future of Personal Information","4851","https://www.youtube.com/watch?v=tNzQNYZymWU","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHKEY-2006-01","2006","Fighting Organized Cyber Crime – War Stories and Trends","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHKEY-2007-01","2007","A Story About Digital Security in 2017","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHKEY-2007-02","2007","The NSA Information Assurance Directorate and the National Security Community","pending_archive","","0","","","2026-08-07","discarded false title match; archive review required"
"BHKEY-2007-03","2007","The Psychology of Security","S3","","0","https://www.blackhat.com/presentations/bh-usa-07/Schneier/Whitepaper/bh-usa-07-schneier-WP.pdf","","2026-08-07","complete official speaker white paper corresponding to keynote"
"BHKEY-2008-01","2008","Complexity in Computer Security: a Risky Business","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHKEY-2008-02","2008","Natural Security","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2008-01","2008","Software Radio and the Future of Wireless Security","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHKEY-2009-01","2009","Cyberspace, A Fragile Ecosystem","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2009-03","2009","Our Favorite XSS Filters and How to Attack Them","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2009-01","2009","Psychotronica: Exposure, Control, and Deceit","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2009-02","2009","Veiled: A Browser-Based Darknet","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2010-06","2010","App Attack: Surviving the Mobile Application Explosion","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2010-07","2010","Changing Threats To Privacy: From TIA To Google","pending_archive","","0","","","2026-08-07","discarded Black Hat Europe video; USA source required"
"BHKEY-2010-02","2010","Cyber War: Are We at War? And If We Are, How Should We Fight It?","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHKEY-2010-01","2010","Day One Keynote","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2010-03","2010","Drivesploit: Circumventing Both Automated AND Manual Drive-by-Download Detection","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2010-05","2010","Exploiting Timing Attacks in Widespread Systems","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2010-09","2010","Fast & Furious Reverse Engineering with TitanEngine","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
