"frame_id","year","expected_title","source_grade","youtube_title","duration_seconds","source_url","channel","checked_at"
"VB-2006-K01","2006","Case: Virus X","pending_paper","","0","","","2026-08-07"
"VB-2006-K02","2006","Data exfiltration techniques: how attackers steal your sensitive data","pending_paper","","0","","","2026-08-07"
"VB-2007-P01","2007","Future threats","pending_paper","","0","","","2026-08-07"
"VB-2008-K01","2008","The AV industry: Quo Vadis?","S3","","0","https://www.virusbulletin.com/uploads/pdf/conference_slides/2008/AlexEckelberry-VB2008.pdf","Virus Bulletin","2026-08-07"
"VB-2008-P01","2008","VB testing - present status, future plans","pending_paper","","0","","","2026-08-07"
"VB-2009-K01","2009","Reforming the landscape","pending_paper","","0","","","2026-08-07"
"VB-2009-P01","2009","Malice through the looking glass: behaviour analysis for the next decade","pending_paper","","0","","","2026-08-07"
"VB-2010-K01","2010","Threats to the Social Web","pending_paper","","0","","","2026-08-07"
"VB-2011-K01","2011","The m00p investigation: law enforcement and the anti-virus industry working in partnership","pending_paper","","0","","","2026-08-07"
"VB-2011-P01","2011","Predicting the future of stealth attacks","S3","","0","https://www.virusbulletin.com/uploads/pdf/conference_slides/2011/Kapoor-Mathur-VB2011.pdf","Virus Bulletin","2026-08-07"
"VB-2011-P02","2011","Security 2012: staying ahead of the game","pending_paper","","0","","","2026-08-07"
"VB-2011-P03","2011","2020 threats: too far away to discuss or too close to ignore?","S1","","0","https://www.virusbulletin.com/conference/vb2011/abstracts/2020-threats-too-far-away-discuss-or-too-close-ignore/","Virus Bulletin","2026-08-07"
"VB-2012-K01","2012","The trade in security exploits: free speech or weapons in need of regulation","S3","","0","https://www.virusbulletin.com/uploads/pdf/conference_slides/2012/Soghoian-VB2012.pdf","Virus Bulletin","2026-08-07"
"VB-2013-K01","2013","Ethics and the AV industry in the age of WikiLeaks","S3_video","VB2013 Keynote : Ethics and the AV industry in the age of WikiLeaks","2181","https://www.youtube.com/watch?v=9F1_8Kz2_0Q","Virus Bulletin","2026-08-07"
"VB-2014-K01","2014","Choose your own keynote adventure - bounties and standards and vuln disclosure, oh my!","pending_paper","","0","","","2026-08-07"
"VB-2014-P01","2014","We know it before you do: predicting malicious domains","S3_video","We know it before you do: predicting malicious domains","1637","https://www.youtube.com/watch?v=4CTl4f5eQS0","Virus Bulletin","2026-08-07"
"VB-2014-P02","2014","Bootkits: past, present & future","S3_paper","","0","https://www.virusbulletin.com/virusbulletin/2014/11/vb2014-paper-bootkits-past-present-future/","Virus Bulletin","2026-08-07"
"VB-2015-K01","2015","The Internet of Bad Things, Observed","S3_video","The Internet of Bad Things, Observed","2362","https://www.youtube.com/watch?v=FY2YKxBxOkg","Virus Bulletin","2026-08-07"
"VB-2015-K02","2015","One man's anti-malware researcher is...","S3_video","Keynote address: One man's anti-malware researcher is...","2293","https://www.youtube.com/watch?v=Pne5zQU0qpQ","Virus Bulletin","2026-08-07"
"VB-2015-P01","2015","The Clean Software Alliance, security, and the future of unwanted behaviours","pending_paper","","0","","","2026-08-07"
"VB-2015-P02","2015","POS fraud - trends and counter-actions to mass fraud","S3_video","POS fraud - trends and counter-actions to mass fraud","1789","https://www.youtube.com/watch?v=JWm2AICa6rg","Virus Bulletin","2026-08-07"
"VB-2015-P03","2015","Will Android Trojans, Worms or Rootkits Survive in SEAndroid and Containerization?","S3_paper","","0","https://www.virusbulletin.com/virusbulletin/2016/02/vb2015-paper-will-android-trojans-worms-or-rootkits-survive-seandroid-and-containerization/","Virus Bulletin","2026-08-07"
"VB-2016-K01","2016","Opening keynote address","pending_paper","","0","","","2026-08-07"
"VB-2016-K02","2016","Closing keynote address","pending_paper","","0","","","2026-08-07"
"VB-2016-P01","2016","The Beginning of the End(point): Where we are now and where we'll be in five years","S3_video","The Beginning of the End(point): Where we are now and where we'll be in five years","1961","https://www.youtube.com/watch?v=HtXCxA76Zbo","Virus Bulletin","2026-08-07"
"VB-2017-K01","2017","Inside Cloudbleed","pending_paper","","0","","","2026-08-07"
"VB-2017-K02","2017","Failure is an option","pending_paper","","0","","","2026-08-07"
"VB-2018-K01","2018","Customers, suppliers, and the adversaries that come with them","pending_paper","","0","","","2026-08-07"
"VB-2018-K02","2018","Denial of trust: the new attacks","pending_paper","","0","","","2026-08-07"
"VB-2018-P01","2018","Triada: the past, the present and the (hopefully not existing) future","S3_video","Triada: the past, the present and the (hopefully not existing) future","1564","https://www.youtube.com/watch?v=abgtZqRtvLI","Virus Bulletin","2026-08-07"
