source_role,url,prediction_keys,source_locators,preservation_level,archived_copy_url,archive_status,preserved_capsule_count,preserved_text_capsule_sha256
prediction_source,https://fahrplan.events.ccc.de/congress/2007/Fahrplan/attachments/1037_EU_Policy_RFID_Privacy.pdf,25-CCC-2007-013-01;25-CCC-2007-013-05,page_35,locator_and_text_capsule,,pending_external_archive,2,00B05A301A238B959B2B09B832587A674F06BFFED948738F13993C5321479343
prediction_source,https://media.ccc.de/v/22C3-600-de-security_nightmares,45-CCC-2005-006-01;45-CCC-2005-006-02;45-CCC-2005-006-03,00:06:39-00:07:10;00:10:43-00:11:04;00:11:18-00:11:31,locator_and_text_capsule,,pending_external_archive,3,29CAED36F63FDE410618DEEF565B6A5D10231C495A0FAAA3663B82B503404E6F
prediction_source,https://media.ccc.de/v/22C3-920-en-we_lost_the_war,11-CCC-2005-002-09,00:07:57-00:08:16,locator_and_text_capsule,,pending_external_archive,1,15301BBBFFE5CABD10D6A969C6564C07308AC93D375A2EEDAF2E611629C5D6FC
prediction_source,https://media.ccc.de/v/23C3-1608-en-vehicular_communication_and_vanets,60-CCC-2006-008-01,00:08:02-00:08:14,locator_and_text_capsule,,pending_external_archive,1,6034E074CC2AE371A9D7A2AE352ED9AF928A8713AC3E25E53D5EE77201A0E653
prediction_source,https://media.ccc.de/v/23C3-1682-de-security_nightmares,39-CCC-2006-011-01;39-CCC-2006-011-03;39-CCC-2006-011-04;39-CCC-2006-011-05;39-CCC-2006-011-06;39-CCC-2006-011-11;39-CCC-2006-011-13,00:45:04-00:45:20;00:49:02-00:49:20;00:49:20-00:50:15;00:51:22-00:52:13;00:52:36-00:53:25;01:06:25-01:06:38;01:09:42-01:10:04,locator_and_text_capsule,,pending_external_archive,7,3D95F540AFD7B7A91244752410947F6BA6A83C9672D3AA5B804BEF1A2FD80602
prediction_source,https://media.ccc.de/v/24c3-2233-en-vx,80-CCC-2007-012-04;80-CCC-2007-012-05,00:54:39-00:55:53;00:54:46-00:55:53,locator_and_text_capsule,,pending_external_archive,2,6C72A37E4991571AADFEE2F9E2A3AC958A22DC4E2C4EB0EC859D284A4A003186
prediction_source,https://media.ccc.de/v/24c3-2336-de-security_nightmares,111-CCC-2007-014-01;111-CCC-2007-014-02;111-CCC-2007-014-03;111-CCC-2007-014-04;111-CCC-2007-014-05,00:42:56-00:44:43;01:04:31-01:05:04;01:09:29-01:10:40;01:26:40-01:26:58;01:26:59-01:27:22,locator_and_text_capsule,,pending_external_archive,5,915F47FBC320B2D23D80CDFD63728F294D0D775692486EB1E067F28B75874E69
prediction_source,https://media.ccc.de/v/25c3-3021-de-security_nightmares_2009,103-CCC-2008-019-01;103-CCC-2008-019-02;103-CCC-2008-019-03;103-CCC-2008-019-04;103-CCC-2008-019-05;103-CCC-2008-019-06;103-CCC-2008-019-07;103-CCC-2008-019-08;103-CCC-2008-019-09,00:06:52-00:07:05;00:42:55-00:43:28;00:44:24-00:45:05;00:46:00-00:47:10;00:52:51-00:53:45;00:54:43-00:55:10;00:55:12-00:55:48;00:55:48-00:56:25;01:33:10-01:33:35,locator_and_text_capsule,,pending_external_archive,9,7FA414E2B317878940048DEE12C62F0F0B684217F01848F60756F7E1FA62750F
prediction_source,https://media.ccc.de/v/26c3-3687-de-security_nightmares,70-CCC-2009-021-01;70-CCC-2009-021-02;70-CCC-2009-021-05;70-CCC-2009-021-10;70-CCC-2009-021-11,00:59:28-01:00:06;01:04:09-01:04:26;01:06:39-01:07:39;01:16:40-01:17:08;01:17:09-01:17:40,locator_and_text_capsule,,pending_external_archive,5,4DCD83D038A3186DDEC4CBC2D05E75DD905D4A8ECB3BBAF2EFB2F55D7EBE5B05
prediction_source,https://media.ccc.de/v/27c3-4111-de-eins_zwei_drei_alle_sind_dabei,104-CCC-2010-024-01,00:13:04-00:13:24,locator_and_text_capsule,,pending_external_archive,1,1CE6F36FD949AD0F263CA5FACA85E3411E2D9AC504597B79ED044729D657E19C
prediction_source,https://media.ccc.de/v/27c3-4230-de-security_nightmares,100-CCC-2010-028-01;100-CCC-2010-028-02;100-CCC-2010-028-03;100-CCC-2010-028-04,00:16:44-00:17:45;00:29:52-00:30:28;01:00:02-01:02:20;01:05:30-01:06:15,locator_and_text_capsule,,pending_external_archive,4,586840B09B07323259080A66DCE4A08CD924CA1A8321394716B81875BFD53FA3
prediction_source,https://media.ccc.de/v/28c3-4898-de-security_nightmares,41-CCC-2011-031-01;41-CCC-2011-031-02;41-CCC-2011-031-03;41-CCC-2011-031-04;41-CCC-2011-031-05;41-CCC-2011-031-06;41-CCC-2011-031-07;41-CCC-2011-031-08,01:04:18-01:04:48;01:07:16-01:07:41;01:08:10-01:08:15;01:10:38-01:11:50;01:19:06-01:19:26;01:19:26-01:19:47;01:25:39-01:25:50;01:27:33-01:27:50,locator_and_text_capsule,,pending_external_archive,8,8E5261703F40625B1F3B3EB5BDE1CC4F07E1475B9B453885B6A7B681C4353181
prediction_source,https://media.ccc.de/v/29c3-5095-en-privacy_and_the_car_of_the_future_h264,20-CCC-2012-033-01,00:04:24-00:05:55,locator_and_text_capsule,,pending_external_archive,1,D6BD327CD621646020325AA7AFAE07671956E40435B6E2B22660911392CF52A7
prediction_source,https://media.ccc.de/v/29c3-5159-en-defend_freedoms_online_h264,27-CCC-2012-032-01;27-CCC-2012-032-02;27-CCC-2012-032-03;27-CCC-2012-032-04;27-CCC-2012-032-08,00:19:14-00:19:37;00:19:28-00:19:40;00:19:32-00:19:46;00:37:11-00:37:28;00:59:03-00:59:15,locator_and_text_capsule,,pending_external_archive,5,6180C46F2BBA70B6CB46E4403CE1AEA05E4690F9380EF96DF74A0F2C5FE0061E
prediction_source,https://media.ccc.de/v/29c3-5244-de-en-security_nightmares2012_h264,127-CCC-2012-037-01;127-CCC-2012-037-02;127-CCC-2012-037-03,00:53:31-00:55:10;01:00:46-01:01:02;01:04:39-01:08:27,locator_and_text_capsule,,pending_external_archive,3,5708A7F6722D9052E17CC762D6167AF95524DB586A8B93C40A1211A51ACF3497
prediction_source,https://media.ccc.de/v/29c3-5374-en-re_igniting_the_crypto_wars_on_the_web_h264,112-CCC-2012-034-01,00:19:28-00:19:38,locator_and_text_capsule,,pending_external_archive,1,25A0448C0C071A661B81C5DDA8A0EF58C1279C5763B916345311E653776B713C
prediction_source,https://media.ccc.de/v/30C3_-_5413_-_de_-_saal_1_-_201312301715_-_security_nightmares_-_frank_-_ron,34-CCC-2013-034-08;34-CCC-2013-034-09;34-CCC-2013-034-10;34-CCC-2013-034-11;34-CCC-2013-034-12;34-CCC-2013-034-13;34-CCC-2013-034-14,01:06:16-01:06:43;01:06:36-01:06:49;01:06:49-01:06:59;01:19:04-01:19:35;01:20:32-01:21:27;01:21:20-01:21:34;01:22:53-01:24:31,locator_and_text_capsule,,pending_external_archive,7,2CA988684D97E9AFCEF52A653620FA3469390CE2E64A138FDF1F5067609936DF
prediction_source,https://media.ccc.de/v/31c3_-_6265_-_en_-_saal_6_-_201412281600_-_the_automobile_as_massive_data_gathering_source_and_the_consequences_for_individual_privacy_-_jimmy_schulz_-_dr_rudiger_hanig,92-CCC-2014-045-01,00:03:32-00:03:44,locator_and_text_capsule,,pending_external_archive,1,EE29D06A46C23CCCE55538A958551926FA70DA1DA59DFFB00E1D0281E58DBD20
prediction_source,https://media.ccc.de/v/31c3_-_6572_-_de_-_saal_1_-_201412301715_-_security_nightmares_-_frank_-_ron,123-CCC-2014-048-01;123-CCC-2014-048-02;123-CCC-2014-048-03,01:11:31-01:12:03;01:22:02-01:22:12;01:24:18-01:25:07,locator_and_text_capsule,,pending_external_archive,3,FB60F6F7B62B8CA39ADACE1B0DA7FCEC3A4FB9DC6EDA652FB1803E745F602698
prediction_source,https://media.ccc.de/v/32c3-7546-security_nightmares_0x10,131-CCC-2015-056-01;131-CCC-2015-056-02;131-CCC-2015-056-03;131-CCC-2015-056-04;131-CCC-2015-056-05,00:50:42-00:51:14;00:53:33-00:54:45;00:56:38-00:56:51;01:00:49-01:01:05;01:07:34-01:07:55,locator_and_text_capsule,,pending_external_archive,5,E17817788236B8ECEB847870542E41D4310F2722A3A600CAF1ADD26A428A21F2
prediction_source,https://media.ccc.de/v/33c3-8074-recount_2016_an_uninvited_security_audit_of_the_u_s_presidential_election,126-CCC-2016-058-01,00:48:20-00:48:38,locator_and_text_capsule,,pending_external_archive,1,98B50335764676EAA2080C07445CC19340FED256923FC75C5359D2BBE771B46D
prediction_source,https://media.ccc.de/v/33c3-8413-security_nightmares_0x11,59-CCC-2016-060-01;59-CCC-2016-060-05;59-CCC-2016-060-06;59-CCC-2016-060-07;59-CCC-2016-060-11,00:55:48-00:55:58;01:01:40-01:01:58;01:02:19-01:02:36;01:02:36-01:02:49;01:06:24-01:06:47,locator_and_text_capsule,,pending_external_archive,5,8A18FC344F0F836A899B94662A77DC395B9C99B7A402DA12AFEA5BAF39E31358
