"master_order","frame_id","venue","year","title","session_type","selection_stratum","official_program_url","content_url","metadata_horizon_status","prior_status","source_grade"
"1","BHKEY-2005-01","Black Hat USA","2005","Investing in Our Nation's Security","keynote","keynote","https://blackhat.com/html/bh-media-archives/bh-archives-2005.html","","","zero","pending_archive"
"2","BHPRO-2005-01","Black Hat USA","2005","The Future of Personal Information","panel","prospective_metadata","https://blackhat.com/html/bh-media-archives/bh-archives-2005.html","","","enumerated_already_screened_zero","S3"
"3","BHKEY-2006-01","Black Hat USA","2006","Fighting Organized Cyber Crime – War Stories and Trends","keynote","keynote","https://blackhat.com/html/bh-media-archives/bh-archives-2006.html","","","zero","pending_archive"
"4","BHKEY-2007-01","Black Hat USA","2007","A Story About Digital Security in 2017","keynote","keynote","https://blackhat.com/html/bh-media-archives/bh-archives-2007.html","","","pending_blind_recoder","pending_archive"
"5","BHKEY-2007-02","Black Hat USA","2007","The NSA Information Assurance Directorate and the National Security Community","keynote","keynote","https://blackhat.com/html/bh-media-archives/bh-archives-2007.html","","","zero","pending_archive"
"6","BHKEY-2007-03","Black Hat USA","2007","The Psychology of Security","keynote","keynote","https://blackhat.com/html/bh-media-archives/bh-archives-2007.html","","","zero","S3"
"7","BHKEY-2008-01","Black Hat USA","2008","Complexity in Computer Security: a Risky Business","keynote","keynote","https://blackhat.com/html/bh-usa-08/bh-usa-08-archive.html","","","zero","pending_archive"
"8","BHKEY-2008-02","Black Hat USA","2008","Natural Security","keynote","keynote","https://blackhat.com/html/bh-usa-08/bh-usa-08-archive.html","","","excluded_horizon_not_expired","pending_archive"
"9","BHPRO-2008-01","Black Hat USA","2008","Software Radio and the Future of Wireless Security","briefing","prospective_metadata","https://blackhat.com/html/bh-usa-08/bh-usa-08-archive.html","","","enumerated","pending_archive"
"10","BHKEY-2009-01","Black Hat USA","2009","Cyberspace, A Fragile Ecosystem","keynote","keynote","https://blackhat.com/html/bh-usa-09/bh-usa-09-archives.html","","","pending_primary_recording","pending_archive"
"11","BHPRO-2009-01","Black Hat USA","2009","Psychotronica: Exposure, Control, and Deceit","briefing","prospective_metadata","https://blackhat.com/html/bh-usa-09/bh-usa-09-speakers.html","","","enumerated","pending_archive"
"12","BHPRO-2009-02","Black Hat USA","2009","Veiled: A Browser-Based Darknet","briefing","prospective_metadata","https://blackhat.com/html/bh-usa-09/bh-usa-09-speakers.html","","","enumerated","pending_archive"
"13","BHPRO-2009-03","Black Hat USA","2009","Our Favorite XSS Filters and How to Attack Them","briefing","prospective_metadata","https://blackhat.com/html/bh-usa-09/bh-usa-09-speakers.html","","","enumerated","pending_archive"
"14","BHKEY-2010-01","Black Hat USA","2010","Day One Keynote","keynote","keynote","https://blackhat.com/html/bh-us-10/bh-us-10-schedule.html","","","zero","pending_archive"
"15","BHKEY-2010-02","Black Hat USA","2010","Cyber War: Are We at War? And If We Are, How Should We Fight It?","keynote","keynote","https://blackhat.com/html/bh-us-10/bh-us-10-schedule.html","","","zero","pending_archive"
"16","BHPRO-2010-01","Black Hat USA","2010","Virtual Forensics","briefing","prospective_metadata","https://blackhat.com/html/bh-us-10/bh-us-10-briefings.html","","","enumerated","pending_archive"
"17","BHPRO-2010-02","Black Hat USA","2010","Unauthorized Internet Wiretapping: Exploiting Lawful Intercept","briefing","prospective_metadata","https://blackhat.com/html/bh-us-10/bh-us-10-briefings.html","","","enumerated","pending_archive"
"18","BHPRO-2010-03","Black Hat USA","2010","Drivesploit: Circumventing Both Automated AND Manual Drive-by-Download Detection","briefing","prospective_metadata","https://blackhat.com/html/bh-us-10/bh-us-10-briefings.html","","","enumerated","pending_archive"
