metric,value,denominator,analysis_status
fulfilled,54,120,confirmatory
not_fulfilled,35,120,confirmatory
indeterminate,31,120,confirmatory
resolved_fulfilled_rate,0.606741573034,89,confirmatory
wilson_95_low,0.502865395399,89,confirmatory
wilson_95_high,0.701784555618,89,confirmatory
all_indeterminate_fail,0.45,120,confirmatory_sensitivity
all_indeterminate_success,0.708333333333,120,confirmatory_sensitivity
cluster_bootstrap_95_low,0.469879518072,36,exploratory
cluster_bootstrap_95_high,0.721153846154,36,exploratory
session_hhi,0.0444444444444,36,exploratory
effective_session_count,22.5,36,exploratory
binomial_p_vs_50pct,0.0557783276537,89,exploratory_reference_only
logit_or::Intercepto,0.878265244303,89,exploratory
logit_ci_low::Intercepto,0.305889111544,89,exploratory
logit_ci_high::Intercepto,2.52166491137,89,exploratory
logit_or::Security Nightmares,3.33139513178,89,exploratory
logit_ci_low::Security Nightmares,0.913260845341,89,exploratory
logit_ci_high::Security Nightmares,12.1522712604,89,exploratory
logit_or::Año (1 DE),1.9228574326,89,exploratory
logit_ci_low::Año (1 DE),1.0946457322,89,exploratory
logit_ci_high::Año (1 DE),3.37769617818,89,exploratory
logit_or::Especificidad proxy (1 DE),1.48411939615,89,exploratory
logit_ci_low::Especificidad proxy (1 DE),0.836813050131,89,exploratory
logit_ci_high::Especificidad proxy (1 DE),2.63214152992,89,exploratory
logit_or::Dificultad proxy (1 DE),0.466447879167,89,exploratory
logit_ci_low::Dificultad proxy (1 DE),0.269500564946,89,exploratory
logit_ci_high::Dificultad proxy (1 DE),0.807321587707,89,exploratory
