"selection_order","round","cell_order","cell","frame_id","venue","year","period","title","session_type","selection_stratum","selection_hash","official_program_url","content_url"
"1","1","1","2005-2009 | Black Hat USA","BHPRO-2005-01","Black Hat USA","2005","2005-2009","The Future of Personal Information","panel","prospective_metadata","28cd308dab5e1d4183d4e4d15cecbce10b5cd60e9ced1d15617832ba709375bb","https://blackhat.com/html/bh-media-archives/bh-archives-2005.html","https://www.youtube.com/watch?v=tNzQNYZymWU"
"2","1","2","2005-2009 | CCC","CCC-2006-007","CCC","2006","2005-2009","A Hacker's Toolkit for RFID Emulation and Jamming","prospective_session","prospective_metadata","005100cd1ee157620c2a53b10d5e1481ac7cff88f50f975499b4713a1e676139","https://media.ccc.de/v/23C3-1597-en-hackers_toolkit_for_rfid_emulation_and_jamming","https://cdn.media.ccc.de/congress/2006/video/23C3-1597-en-hackers_toolkit_for_rfid_emulation_and_jamming.m4v"
"3","1","3","2005-2009 | Virus Bulletin","VB-2008-K01","Virus Bulletin","2008","2005-2009","The AV industry: Quo Vadis?","keynote","keynote","91674edc1f1b6a3781f5352e1c67851271c8850b081431618137ea1642a426cd","https://www.virusbulletin.com/conference/vb2008/programme/","https://www.virusbulletin.com/uploads/pdf/conference_slides/2008/AlexEckelberry-VB2008.pdf"
"4","1","4","2010-2014 | Black Hat USA","BHPRO-2014-03","Black Hat USA","2014","2010-2014","Capstone: Next Generation Disassembly Framework","briefing","prospective_metadata","0b8568cd2dab4d1b0c20ecfa992ef1c9b8b9b4442d5c3a7678f6946a8f4ac995","https://blackhat.com/us-14/archives.html","https://www.youtube.com/watch?v=cwyJm6b1F0k"
"5","1","5","2010-2014 | CCC","CCC-2010-025","CCC","2010","2010-2014","Hacking iButtons","prospective_session","prospective_metadata","04a3eb9f9471b66722f6428fa1a654612fa2d76caec2e37ab1365c111fe009f9","https://media.ccc.de/v/27c3-4176-de-hacking_ibuttons","https://cdn.media.ccc.de/congress/2010/mp4-h264-HQ/27c3-4176-de-hacking_ibuttons.mp4"
"6","1","6","2010-2014 | Virus Bulletin","VB-2013-K01","Virus Bulletin","2013","2010-2014","Ethics and the AV industry in the age of WikiLeaks","keynote","keynote","5a22d8236c8805949a2aca6a57caab8ce35ddabf44b5e279974049a3913b5958","https://www.virusbulletin.com/conference/vb2013/programme/","https://www.youtube.com/watch?v=9F1_8Kz2_0Q"
"7","1","7","2015-2018 | Black Hat USA","BHPRO-2016-05","Black Hat USA","2016","2015-2018","The Year in Flash","briefing","prospective_metadata","021ef531518283f66755aa047eda234d5abfb89f7087c7b208f46a848a83c79a","https://blackhat.com/us-16/briefings.html","https://www.youtube.com/watch?v=F5NUvcTpoDU"
"8","1","8","2015-2018 | CCC","CCC-2018-084","CCC","2018","2015-2018","Internet of Dongs","prospective_session","prospective_metadata","004ef0709d5803bcaa930f3b44030dcfca1ded3e84248a3d2682dc0cf38c3b74","https://media.ccc.de/v/35c3-9523-internet_of_dongs","https://cdn.media.ccc.de/congress/2018/slides-h264-hd/35c3-9523-eng-deu-Internet_of_Dongs_hd-slides.mp4"
"9","1","9","2015-2018 | Virus Bulletin","VB-2015-P03","Virus Bulletin","2015","2015-2018","Will Android Trojans, Worms or Rootkits Survive in SEAndroid and Containerization?","prospective_session","prospective_metadata","0f4b0175b9c1ed32c419db802b74def682d994f45e7e82747884f1a906dc703d","https://www.virusbulletin.com/conference/vb2015/programme/","https://www.virusbulletin.com/virusbulletin/2016/02/vb2015-paper-will-android-trojans-worms-or-rootkits-survive-seandroid-and-containerization/"
"10","2","1","2005-2009 | Black Hat USA","BHKEY-2007-03","Black Hat USA","2007","2005-2009","The Psychology of Security","keynote","keynote","820dceda09a288f2699fc9e4061532171d0f3ae02c6bb8682fab957b9c4a18e9","https://blackhat.com/html/bh-media-archives/bh-archives-2007.html","https://www.blackhat.com/presentations/bh-usa-07/Schneier/Whitepaper/bh-usa-07-schneier-WP.pdf"
