"selection_order","session_id","candidate_order","source_url","source_type","source_timestamp_or_page","speaker","verbatim_text","context_text","atomic_restatement","authorship","subject","population","geography","outcome","horizon_literal","horizon_source","horizon_start","deadline","horizon_expired","prediction_class","inclusion_decision","exclusion_reason","prediction_type","indicator_frozen","threshold_success_frozen","threshold_contradiction_frozen","admissible_outcome_source_type","missing_conflict_rule","coder","coded_at","codebook_version","outcome_search_allowed","notes"
"1","BHPRO-2005-01","06","https://www.youtube.com/watch?v=tNzQNYZymWU","official_complete_video_and_audio_verified_caption","00:11:32-00:11:42","Joseph Ansanelli","My view is in the next 12 months that if you store personal information and you're a company that has it, you'll have an obligation to have some standards to protect it.","Immediately preceded by discussion of market dynamics, Senate Commerce and Judiciary Committee review of consumer data-security bills, and the contrast with then-existing sectoral duties in finance and healthcare.","Within 12 months, companies in the United States that store personal information will be subject to an obligation to maintain standards protecting that information.","propia","corporate_data_security","companies storing personal information","United_States","existence of a broadly applicable and externally enforceable obligation to maintain personal-information protection standards","in the next 12 months","individual","2005-07-28","2006-07-28","yes","A","include","","occurrence","Existence by the deadline of a generally applicable US legal or comparably enforceable duty covering companies that store personal information and requiring security standards beyond finance and healthcare alone.","A generally applicable duty was in force by 2006-07-28; a bill merely introduced or debated is insufficient.","No contradiction category from mere non-occurrence; contradiction requires an authoritative rule expressly eliminating or precluding such duties by the deadline.","official_legislation_regulation_or_controlling_case_law","If federal and state duties differ, success requires coverage sufficiently broad to justify 'across the board'; isolated sectoral or single-state rules are insufficient. If scope cannot be resolved without redefining 'companies', classify indeterminable.","Codex","2026-08-07","preregistration_consolidated_v0.2","no","Audio excerpt independently retranscribed from the official recording; session-level candidate reconciliation completed."
"4","BHPRO-2014-03","03","https://www.youtube.com/watch?v=cwyJm6b1F0k","official_complete_video_and_audio_verified_caption","00:49:23-00:49:38","Quynh Nguyen Anh","It doesn't stop here, because next year Intel will add one new instruction set named AVX-512, which will be out in some real hardware next year.","The speaker is explaining why Capstone's use of LLVM lets it support future Intel instruction sets; he states that LLVM and therefore Capstone already support AVX-512 before hardware release.","By 7 August 2015, AVX-512 will be implemented in at least some real Intel hardware.","propia","processor_instruction_set","Intel processor hardware","global","physical Intel hardware implementing AVX-512","next year","individual","2014-08-07","2015-08-07","yes","A","include","","occurrence","Existence by the deadline of an Intel processor product or other publicly documented shipping physical Intel hardware implementing AVX-512; software emulation, LLVM support, specifications or announcements alone are insufficient.","At least one qualifying physical Intel hardware implementation was shipping or otherwise publicly documented as available by 2015-08-07.","Contradicted only if Intel officially cancelled AVX-512 hardware implementation for the stated period; absence by the deadline is non-fulfilment rather than contradiction.","official_intel_product_documentation_or_contemporaneous_primary_hardware_record","If a chip was sampled but not commercially shipped, count only if Intel or an OEM contemporaneously documents physical customer-accessible hardware; otherwise classify not fulfilled or indeterminable if availability cannot be established.","Codex","2026-08-07","preregistration_consolidated_v0.2","no","Decisive excerpt independently retranscribed from the official audio; no outcome evidence consulted."
"11","CCC-2005-002","09","https://media.ccc.de/v/22C3-920-en-we_lost_the_war","official_complete_audio_plus_contemporary_partial_transcript","00:07:57-00:08:16","Frank Rieger","If we look at the development of technology and say 'okay, there is no way to store all e-mail traffic because it's much too much data', this might be the case today. In ten years, it will be available for sure, as commercial technology.","The speaker argues that current technical failure of surveillance, data-mining and profiling systems is temporary and gives storage of all email traffic as the concrete example.","By 27 December 2015, commercial technology explicitly capable of storing all worldwide email traffic will exist.","propia","surveillance_storage","commercial data-storage products or systems","global","explicit commercial capability to store the complete worldwide email-traffic stream","in ten years","individual","2005-12-27","2015-12-27","yes","A","include","","occurrence","A contemporaneous primary source explicitly describes a commercially available product or system as capable of storing the complete worldwide email-traffic stream; inferred aggregation of component capacities is insufficient.","At least one qualifying commercial product or system was publicly documented by 2015-12-27 with an explicit all-worldwide-email-traffic storage capability.","Contradicted only by an authoritative contemporaneous technical statement that commercial systems could not provide the claimed capability by the deadline; simple absence is non-fulfilment, not contradiction.","commercial_vendor_primary_documentation_or_contemporaneous_independent_technical_record","Do not invent a retention duration or infer success by adding disk capacities. Bespoke classified government infrastructure does not satisfy commercial technology. If sources use all email ambiguously or omit worldwide scope, classify indeterminable.","Codex","2026-08-08","preregistration_consolidated_v0.2","no","Contemporary partial transcript and full official-audio ASR agree on the decisive wording; no outcome evidence consulted."
"20","CCC-2012-033","01","https://media.ccc.de/v/29c3-5095-en-privacy_and_the_car_of_the_future_h264","official_complete_audio_plus_official_event_page","00:04:24-00:05:55","Christie Dudley","Will this really happen? Will people really, or will the automakers really put these in cars? ... unless something extremely unexpected happens, we're looking at the next two to three years. ... How soon? Next couple of years. The hardware has already been manufactured ... and they're ready to ship.","The speaker distinguishes the ongoing Ann Arbor field trial from anticipated real deployment, notes participation by all major regional automaker groups, and immediately answers the timing question before discussing a possible US DOT mandate.","By 27 December 2015, at least one automaker will offer a new production passenger-vehicle model with a factory-installed DSRC radio intended for vehicle-to-vehicle safety communication.","propia","connected_vehicle_deployment","new production passenger-vehicle models offered by automakers","global","commercial availability of factory-installed DSRC vehicle-to-vehicle safety communication","the next two to three years","individual","2012-12-27","2015-12-27","yes","B","include","","occurrence","Contemporaneous OEM, regulator or standards documentation identifies a commercially offered new passenger-vehicle model with factory-installed DSRC operating for V2V safety communication; field-trial vehicles, prototypes, aftermarket radios and non-DSRC cellular systems do not qualify.","At least one qualifying production model was commercially offered by the deadline.","Contradicted only by an authoritative contemporaneous cancellation or postponement stating that no qualifying production deployment would occur by the deadline; mere absence is non-fulfilment.","official_OEM_or_transport_regulator_documentation_plus_contemporaneous_independent_automotive_record","The wording could refer to rollout, mandate or both. Freeze the narrow observable rollout claim prompted by 'automakers ... put these in cars'; do not count the already-running Ann Arbor pilot. If factory installation or DSRC/V2V purpose cannot be established, classify indeterminable.","Codex","2026-08-08","preregistration_consolidated_v0.2","no","Class B because the spoken referent is contextually clear but not restated in one uninterrupted sentence; complete official audio reviewed and no outcome evidence consulted."
"23","CCC-2018-085","01","https://media.ccc.de/v/35c3-10030-security_nightmares_0x13","official_complete_german_subtitles","00:53:51-00:54:56","Frank_Rieger_and_Ron","Mikroprozessoren werden in nahezu allen denkbaren Geräten sein; das Nichtvorhandensein wird die Ausnahme.","The speakers explicitly introduce keywords for the next year immediately before this block.","By the end of 2019, programmable processors will be present in nearly all categories of electrically powered feature-bearing consumer devices, with processor-free products becoming exceptional.","kollektiv_panel","processor_ubiquity","new electrically powered feature-bearing consumer devices","global","near-universal cross-category processor presence","Stichworten für das nächste Jahr","section_inherited","2018-12-30","2019-12-31","yes","B","include","","adoption","Representative product teardowns, engineering surveys and market catalogues covering appliances, lighting or switches, toys, vehicle accessories and consumer infrastructure.","Qualifying evidence covering at least four of five listed categories shows programmable controllers in at least 80% of sampled newly sold feature-bearing electrical products in 2019.","Representative evidence covering at least four categories shows processor presence below 50% in a majority of categories; incomplete or nonrepresentative evidence is indeterminable.","product_teardowns_engineering_surveys_and_market_catalogues","Passive electrical goods and products whose only electronics are power conversion are outside the population; do not infer market prevalence from anecdotes.","Codex","2026-08-08","preregistration_consolidated_v0.2","no","Class B because nahezu allen and Ausnahme require a frozen population and prevalence threshold."
"23","CCC-2018-085","02","https://media.ccc.de/v/35c3-10030-security_nightmares_0x13","official_complete_german_subtitles","00:55:05-00:55:14","Frank_Rieger_and_Ron","Die Daten, die diese Geräte erzeugen, werden irgendwo gespeichert.","This follows the processor-ubiquity claim within the explicit next-year block.","During 2019, persistent storage of telemetry or user data will be documented across multiple mass-market connected-device categories.","kollektiv_panel","device_data_storage","mass-market connected consumer-device categories","global","persistent storage of device-generated data across categories","Stichworten für das nächste Jahr","section_inherited","2018-12-30","2019-12-31","yes","B","include","","occurrence_and_breadth","Regulator investigations, independent network measurements, privacy disclosures and technical studies dated no later than 2019.","At least three distinct mass-market device categories are documented in 2019 transmitting telemetry or user data to local or remote persistent storage.","Systematic representative testing across at least three major device categories finds no persistent storage of generated telemetry or user data; sparse evidence is indeterminable.","regulator_network_measurement_privacy_disclosures_and_technical_studies","Categories must be materially distinct, such as appliances, cameras, speakers, wearables or vehicles; transient processing alone does not count.","Codex","2026-08-08","preregistration_consolidated_v0.2","no","Class B because broad data storage is operationalized across device categories."
"23","CCC-2018-085","03","https://media.ccc.de/v/35c3-10030-security_nightmares_0x13","official_complete_german_subtitles","00:55:10-00:55:16","Frank_Rieger_and_Ron","Und dann werden sie halt wegkommen.","Sie refers to the stored data generated by processor-equipped devices in the preceding sentence.","During 2019, collected telemetry or user data from connected devices will be exposed or leaked in multiple distinct device categories.","kollektiv_panel","connected_device_data_leaks","stored telemetry or user data from connected devices","global","documented exposure across device categories","Stichworten für das nächste Jahr","section_inherited","2018-12-30","2019-12-31","yes","B","include","","occurrence_and_breadth","Regulator breach notices, CERT or vendor advisories, primary incident analyses and authoritative technical reporting dated 2019.","At least three independently documented 2019 incidents or vulnerabilities expose collected device or user telemetry in three distinct connected-device categories.","Authoritative annual reviews plus systematic testing document no qualifying exposure in more than one category; absence without broad coverage is indeterminable.","breach_notices_CERT_vendor_primary_incident_and_technical_reporting","Count disclosed vulnerabilities only when exploitation or unauthorized data access is demonstrated; do not count availability-only failures.","Codex","2026-08-08","preregistration_consolidated_v0.2","no","Class B because plural leakage is frozen as cross-category occurrence."
"23","CCC-2018-085","04","https://media.ccc.de/v/35c3-10030-security_nightmares_0x13","official_complete_german_subtitles","00:57:42-00:58:30","Frank_Rieger_and_Ron","Bei den Systemen, mit denen der Benutzer direkt interagiert und die Updates kriegen, das wird schon besser.","The speakers contrast maintained end-user systems with neglected IoT and legacy systems inside the next-year outlook.","During 2019, security of directly user-interacted, routinely updated end-user platforms will materially improve.","kollektiv_panel","end_user_platform_security","major maintained desktop or end-user operating-system platforms","global","material security improvement during 2019","Stichworten für das nächste Jahr","section_inherited","2018-12-30","2019-12-31","yes","B","include","","direction","Vendor security documentation, exploited-vulnerability catalogues, independent vulnerability telemetry and platform-security research for 2018-2019.","At least two of Windows, macOS and ChromeOS introduce a material default hardening or isolation improvement in 2019 and no authoritative cross-platform indicator shows material deterioration; alternatively, a comparable exploited-critical-vulnerability indicator declines at least 10% from 2018.","A comparable authoritative indicator deteriorates at least 10%, or two of the three platforms remove or materially weaken default protections without offsetting hardening; mixed or incomparable evidence is indeterminable.","vendor_security_records_exploited_vulnerability_catalogues_and_independent_research","Feature counts alone are insufficient unless the change is enabled by default and mitigates a defined attack class; use like-for-like annual metrics.","Codex","2026-08-08","preregistration_consolidated_v0.2","no","Class B because besser requires a multi-platform or comparable quantitative direction test."
"23","CCC-2018-085","05","https://media.ccc.de/v/35c3-10030-security_nightmares_0x13","official_complete_german_subtitles","00:58:30-00:58:45","Frank_Rieger_and_Ron","Bei IoT wird weiter mit Brute Force und alten Sicherheitslücken angegriffen.","The claim remains in the explicit next-year block and names attack mechanisms.","During 2019, at least one in-the-wild IoT attack campaign will use brute-forced or default credentials or exploit an already known vulnerability.","kollektiv_panel","iot_old_technique_attacks","in-the-wild attacks against IoT devices","global","qualifying IoT attack campaign occurs","Stichworten für das nächste Jahr","section_inherited","2018-12-30","2019-12-31","yes","A","include","","occurrence","CERT, vendor or law-enforcement advisories and primary threat-intelligence incident analyses dated 2019.","At least one documented in-the-wild 2019 IoT campaign compromises devices through brute force, default credentials or a vulnerability publicly known before 2019.","Authoritative comprehensive 2019 IoT-threat reporting documents no such campaign; absence without comprehensive coverage is indeterminable.","CERT_vendor_law_enforcement_and_primary_threat_intelligence","Proofs of concept and scans without compromise do not qualify; a campaign may satisfy either named mechanism.","Codex","2026-08-08","preregistration_consolidated_v0.2","no","Class A because occurrence, target, mechanism and year are explicit and require no contestable magnitude threshold."
"23","CCC-2018-085","06","https://media.ccc.de/v/35c3-10030-security_nightmares_0x13","official_complete_german_subtitles","00:58:45-00:58:54","Frank_Rieger_and_Ron","Bei dem PC-Mittelfeld geht weniger.","The speakers partition the attack landscape into improved user systems, weak IoT, the PC middle field and high-end targets.","During 2019, conventional commodity attacks against personal computers will decline relative to 2018.","kollektiv_panel","commodity_pc_attack_decline","conventional commodity malware and exploit activity against personal computers","global","decline in conventional PC attack activity","Stichworten für das nächste Jahr","section_inherited","2018-12-30","2019-12-31","yes","B","include","","direction","Comparable annual endpoint-security telemetry, malware encounter reports and incident datasets for 2018-2019.","A majority of at least three independent comparable global or multi-country sources report a decline of at least 10% in conventional commodity PC malware, exploit detections or incidents in 2019 versus 2018.","A majority of at least three comparable sources report an increase of at least 10%; mixed, definition-shifted or smaller changes are indeterminable.","comparable_endpoint_telemetry_malware_reports_and_incident_datasets","Exclude mobile and IoT-only activity and targeted high-end intrusions; do not combine raw counts from incompatible products.","Codex","2026-08-08","preregistration_consolidated_v0.2","no","Class B because Mittelfeld and weniger require frozen scope and direction thresholds."
