selection_order,frame_id,extraction_session_id,venue,year,period,selection_stratum,official_program_url,content_url,s3_in_original_order,included_predictions,fulfilled,not_fulfilled,indeterminate
1,BHPRO-2005-01,BHPRO-2005-01,Black Hat USA,2005,2005-2009,prospective_metadata,https://blackhat.com/html/bh-media-archives/bh-archives-2005.html,https://www.youtube.com/watch?v=tNzQNYZymWU,1,1,0,1,0
2,CCC-2006-007,CCC-2006-007,CCC,2006,2005-2009,prospective_metadata,https://media.ccc.de/v/23C3-1597-en-hackers_toolkit_for_rfid_emulation_and_jamming,https://cdn.media.ccc.de/congress/2006/video/23C3-1597-en-hackers_toolkit_for_rfid_emulation_and_jamming.m4v,1,0,0,0,0
3,VB-2008-K01,VB-2008-K01,Virus Bulletin,2008,2005-2009,keynote,https://www.virusbulletin.com/conference/vb2008/programme/,https://www.virusbulletin.com/uploads/pdf/conference_slides/2008/AlexEckelberry-VB2008.pdf,1,0,0,0,0
4,BHPRO-2014-03,BHPRO-2014-03,Black Hat USA,2014,2010-2014,prospective_metadata,https://blackhat.com/us-14/archives.html,https://www.youtube.com/watch?v=cwyJm6b1F0k,1,1,0,1,0
5,CCC-2010-025,CCC-2010-025,CCC,2010,2010-2014,prospective_metadata,https://media.ccc.de/v/27c3-4176-de-hacking_ibuttons,https://cdn.media.ccc.de/congress/2010/mp4-h264-HQ/27c3-4176-de-hacking_ibuttons.mp4,1,0,0,0,0
6,VB-2013-K01,VB-2013-K01,Virus Bulletin,2013,2010-2014,keynote,https://www.virusbulletin.com/conference/vb2013/programme/,https://www.youtube.com/watch?v=9F1_8Kz2_0Q,1,0,0,0,0
7,BHPRO-2016-05,BHPRO-2016-05,Black Hat USA,2016,2015-2018,prospective_metadata,https://blackhat.com/us-16/briefings.html,https://www.youtube.com/watch?v=F5NUvcTpoDU,1,0,0,0,0
8,CCC-2018-084,CCC-2018-084,CCC,2018,2015-2018,prospective_metadata,https://media.ccc.de/v/35c3-9523-internet_of_dongs,https://cdn.media.ccc.de/congress/2018/slides-h264-hd/35c3-9523-eng-deu-Internet_of_Dongs_hd-slides.mp4,1,0,0,0,0
9,VB-2015-P03,VB-2015-P03,Virus Bulletin,2015,2015-2018,prospective_metadata,https://www.virusbulletin.com/conference/vb2015/programme/,https://www.virusbulletin.com/virusbulletin/2016/02/vb2015-paper-will-android-trojans-worms-or-rootkits-survive-seandroid-and-containerization/,1,0,0,0,0
10,BHKEY-2007-03,BHKEY-2007-03,Black Hat USA,2007,2005-2009,keynote,https://blackhat.com/html/bh-media-archives/bh-archives-2007.html,https://www.blackhat.com/presentations/bh-usa-07/Schneier/Whitepaper/bh-usa-07-schneier-WP.pdf,1,0,0,0,0
11,CCC-2005-002,CCC-2005-002,CCC,2005,2005-2009,prospective_metadata,https://media.ccc.de/v/22C3-920-en-we_lost_the_war,https://cdn.media.ccc.de/congress/2005/lectures/video/mp4-avc/320x240/22C3-920-en-we_lost_the_war.m4v,1,1,0,0,1
12,BHKEY-2013-02,BHKEY-2013-02,Black Hat USA,2013,2010-2014,keynote,https://blackhat.com/us-13/archives.html,https://www.youtube.com/watch?v=X_j_WYjhNxE,1,0,0,0,0
13,CCC-2011-029,CCC-2011-029,CCC,2011,2010-2014,prospective_metadata,https://media.ccc.de/v/28c3-4753-en-the_movement_against_state_controlled_internet_in_turkey,https://cdn.media.ccc.de/congress/2011/ogg-audio-only/28c3-4753-en-the_movement_against_state_controlled_internet_in_turkey.ogg,1,0,0,0,0
14,VB-2014-P01,VB-2014-P01,Virus Bulletin,2014,2010-2014,prospective_metadata,https://www.virusbulletin.com/conference/vb2014/programme/,https://www.youtube.com/watch?v=4CTl4f5eQS0,1,0,0,0,0
15,BHKEY-2018-01,BHKEY-2018-01,Black Hat USA,2018,2015-2018,keynote,https://blackhat.com/us-18/briefings.html,https://www.youtube.com/watch?v=py2qmGbyhlw,1,0,0,0,0
16,CCC-2018-077,CCC-2018-077,CCC,2018,2015-2018,prospective_metadata,https://media.ccc.de/v/35c3-9446-sd-wan_a_new_hop,https://cdn.media.ccc.de/congress/2018/h264-hd/35c3-9446-eng-deu-fra-SD-WAN_a_New_Hop_hd.mp4,1,0,0,0,0
17,VB-2015-K01,VB-2015-K01,Virus Bulletin,2015,2015-2018,keynote,https://www.virusbulletin.com/conference/vb2015/programme/,https://www.youtube.com/watch?v=FY2YKxBxOkg,1,0,0,0,0
18,CCC-2008-018,CCC-2008-018,CCC,2008,2005-2009,prospective_metadata,https://media.ccc.de/v/25c3-2977-en-security_and_anonymity_vulnerabilities_in_tor,https://cdn.media.ccc.de/congress/2008/video_h264_720x576/25c3-2977-en-security_and_anonymity_vulnerabilities_in_tor.mp4,1,0,0,0,0
19,BHPRO-2013-01,BHPRO-2013-01,Black Hat USA,2013,2010-2014,prospective_metadata,https://blackhat.com/us-13/archives.html,https://www.youtube.com/watch?v=fhJN44Wmiq0,1,0,0,0,0
20,CCC-2012-033,CCC-2012-033,CCC,2012,2010-2014,prospective_metadata,https://media.ccc.de/v/29c3-5095-en-privacy_and_the_car_of_the_future_h264,https://cdn.media.ccc.de/congress/2012/mp4-h264-HQ/29c3-5095-en-privacy_and_the_car_of_the_future_h264.mp4,1,1,1,0,0
21,VB-2012-K01,VB-2012-K01,Virus Bulletin,2012,2010-2014,keynote,https://www.virusbulletin.com/conference/vb2012/programme/,https://www.virusbulletin.com/uploads/pdf/conference_slides/2012/Soghoian-VB2012.pdf,1,0,0,0,0
22,BHPRO-2018-05,BHPRO-2018-05,Black Hat USA,2018,2015-2018,prospective_metadata,https://blackhat.com/us-18/briefings.html,https://www.youtube.com/watch?v=Opjb5hPlxtY,1,0,0,0,0
23,CCC-2018-085,CCC-2018-085,CCC,2018,2015-2018,prospective_metadata,https://media.ccc.de/v/35c3-9685-security_nightmares_0x13,https://cdn.media.ccc.de/congress/2018/h264-hd/35c3-9685-fra-Security_Nightmares_0x13.mp4,1,7,4,0,3
24,VB-2015-K02,VB-2015-K02,Virus Bulletin,2015,2015-2018,keynote,https://www.virusbulletin.com/conference/vb2015/programme/,https://www.youtube.com/watch?v=Pne5zQU0qpQ,1,0,0,0,0
25,CCC-2007-013,CCC-2007-013,CCC,2007,2005-2009,prospective_metadata,https://media.ccc.de/v/24c3-2396-en-eu_rfid_policy,https://cdn.media.ccc.de/congress/2007/mp4/24c3-2396-en-eu_rfid_policy_high.mp4,1,2,0,2,0
26,BHKEY-2011-02,BHKEY-2011-02,Black Hat USA,2011,2010-2014,keynote,https://blackhat.com/html/bh-us-11/bh-us-11-archives.html,https://www.youtube.com/watch?v=kZk9fsQisI8,1,0,0,0,0
27,CCC-2012-032,CCC-2012-032,CCC,2012,2010-2014,prospective_metadata,https://media.ccc.de/v/29c3-5159-en-defend_freedoms_online_h264,https://cdn.media.ccc.de/congress/2012/mp4-h264-HQ/29c3-5159-en-defend_freedoms_online_h264.mp4,1,5,4,1,0
