source_role,original_url,snapshot_date,snapshot_http_status,snapshot_availability,affected_prediction_keys,frozen_locator_capsule_sha256,publisher_candidate_url,candidate_relation,candidate_http_status_checked_2026_09_15,content_review_status,preservation_status,next_action
prediction_source,https://media.ccc.de/v/35c3-10030-security_nightmares_0x13,2026-09-15,404,http_not_found,23-CCC-2018-085-01;23-CCC-2018-085-02;23-CCC-2018-085-03;23-CCC-2018-085-04;23-CCC-2018-085-05;23-CCC-2018-085-06;23-CCC-2018-085-07,06D33EC61DD0897CD46B3B66948F81D0336426D9B074673ECDE2A7CB61CA3F01,https://media.ccc.de/v/35c3-9685-security_nightmares_0x13,same_session_official_program,200,source_content_not_rechecked,locator_and_excerpt_only_no_full_source_copy,Review exact content and frozen threshold; retain original URL
primary_outcome_evidence,https://digital.nhs.uk/cyber-alerts/2019/cc-3120,2026-09-15,403,blocked_or_rate_limited,23-CCC-2018-085-05,D38AAEED7CA9CE7E02E4D9873FA7F884D472A719AAC60AFCA55C4139C7681DCE,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://news.samsung.com/global/10-sensors-of-galaxy-s5-heart-rate-finger-scanner-and-more,2026-09-15,403,blocked_or_rate_limited,34-CCC-2013-034-10,E0D9970B625EABE6E97B2D574A91F2186FA9BEF39E65A2E6BA6B480B59F5E10F,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://ora.ox.ac.uk/objects/uuid%3A6d1260fd-b8ee-4a11-8a5f-e7708d543651,2026-09-15,,network_error,103-CCC-2008-019-07;103-CCC-2008-019-08,24DA15E0FC753E290485040FF429DD885E7C7F2C9810488187863556042399B1,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://securelist.com/mobile-malware-evolution-2013/58335/,2026-09-15,,network_error,127-CCC-2012-037-01,AEBA7A69B6563F420789B104BC4E50E6AE88264999FB9C2D8B846787C9AA4915,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://srlabs.de/bites/spoofing-fingerprints,2026-09-15,,network_error,34-CCC-2013-034-09,F01B2D3E3B57617E0DD490C01AA56E3BEC2C48CFCAA136E9A7674C56D9FBFFE0,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://www.abiresearch.com/press/fingerprint-sensor-shipments-reach-126-billion-2019-despite-growth-from-face-recognition,2026-09-15,404,http_not_found,130-CCC-2017-061-06,AC115EDCF797A5B5A2B763C40E23684C3F2B53E66D98C239076E71AAD924C8EE,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://www.adobe.com/support/security/advisories/apsa08-03.html,2026-09-15,,network_error,111-CCC-2007-014-03,610E0245DDADBE5F45255633DF211A86C8EDEB64C81C3B3D8667B040E502533C,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://www.adobe.com/support/security/advisories/apsa09-04.html,2026-09-15,,network_error,103-CCC-2008-019-04,E7916B3C0E5BFFC3F5CE695ACE01797C44F1CE1F31AFEBB1D0659A4A1A3A81F9,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://www.bfdi.bund.de/SharedDocs/Downloads/EN/Taetigkeitsberichte/23TB_09_10.pdf?__blob=publicationFile&v=5,2026-09-15,,network_error,70-CCC-2009-021-01,B159C03170949AAA8EDD61724FEC5177061D52042E0BF763C4C998A6624FD0FE,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20080610-snmpv3.html,2026-09-15,403,blocked_or_rate_limited,103-CCC-2008-019-05,07064AAC859CCA8C8AD283166E78339ACE90EBA27E79B278E71DF088F1BAEBA0,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/Campus/CampIPv6.html,2026-09-15,403,blocked_or_rate_limited,51-BHPRO-2012-03-03,691F5E7D8B47AEE1DF996B927796FE7720A3D369A6703829FF405E86AC72C374,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://www.congress.gov/bill/116th-congress/house-bill/2722/all-info,2026-09-15,403,blocked_or_rate_limited,126-CCC-2016-058-01;30-CCC-2018-076-08,3718C2D8AC3125D9E40DE35925E0776A1029DF5D1F51B285218EB01409A6A645,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://www.crunchbase.com/hub/cyber-security-acquired-companies,2026-09-15,403,blocked_or_rate_limited,31-VB-2016-P01-02,20C98E6258BFF3023D0F33B6B84102BDA0B637412EE6FDA29C902D9074A25F42,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://www.cs.tau.ac.il/~tromer/acoustic/,2026-09-15,,network_error,34-CCC-2013-034-12,3218EFDAC58E4DB76118B68EE2850311F23F24DDAB961BFCA696DA77E675CEFA,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
